ID,Name,Surname,Email,Password,City,Country,Phone,DateOfBirth,Gender,AdditionalInfo
1,Lukáš,Krajčí,lukáš.krajčí@example.com,password1,Prešov,Francie,522623994,password,1973-11-20,M
2,Adam,Horváth,adam.horváth@example.com,password2,Košice,Polsko,958043828,password,1973-04-14,M
3,Martina,Varga,martina.varga@example.com,password3,Trenčín,Polsko,885886146,password,1992-07-07,F
4,Michaela,Krajčí,michaela.krajčí@example.com,password4,Nitra,Španělsko,899935940,password,1995-02-06,M
5,Martin,Baláž,martin.baláž@example.com,password5,Prešov,Francie,963612545,password,1998-11-06,M
6,Marek,Hruška,marek.hruška@example.com,password6,Poprad,Maďarsko,620079082,password,1983-01-24,F
7,Simona,Baláž,simona.baláž@example.com,password7,Trenčín,Polsko,877183689,password,1996-12-27,F
8,Adam,Hruška,adam.hruška@example.com,password8,Bratislava,Německo,480005231,password,1986-06-13,F
9,Ján,Baláž,ján.baláž@example.com,password9,Bratislava,Rakúsko,490116725,password,1985-06-17,M
10,Martina,Tóth,martina.tóth@example.com,password10,Nitra,Itálie,285726739,password,1989-01-16,M
11,Barbora,Baláž,barbora.baláž@example.com,password11,Košice,Polsko,730732059,password,1994-03-02,F
12,Simona,Szabó,simona.szabó@example.com,password12,Poprad,Polsko,308371279,password,1974-04-24,F
13,Ján,Horváth,ján.horváth@example.com,password13,Trenčín,Itálie,801516460,password,1979-11-13,M
14,Lucia,Novák,lucia.novák@example.com,password14,Žilina,Maďarsko,208056831,password,1971-08-05,M
15,Pavol,Baláž,pavol.baláž@example.com,password15,Prešov,Slovensko,082507141,password,1990-08-28,M
16,Marek,Tóth,marek.tóth@example.com,password16,Trenčín,Francie,628143477,password,1985-12-05,M
17,Simona,Varga,simona.varga@example.com,password17,Bratislava,Maďarsko,694079995,password,1993-04-14,M
18,Adam,Tóth,adam.tóth@example.com,password18,Trenčín,Slovensko,746975906,password,1980-06-09,M
19,Barbora,Krajčí,barbora.krajčí@example.com,password19,Prešov,Slovensko,371205808,password,1987-08-10,M
20,Michaela,Novák,michaela.novák@example.com,password20,Bratislava,Itálie,047688467,password,1978-01-28,M
21,Eva,Szabó,eva.szabó@example.com,password21,Trenčín,Slovensko,864505553,password,1997-05-27,M
22,Michaela,Kováč,michaela.kováč@example.com,password22,Trnava,Velká Británie,773547354,password,1990-03-12,M
23,Peter,Horváth,peter.horváth@example.com,password23,Žilina,Francie,614804061,password,1995-08-01,F
24,Zuzana,Hruška,zuzana.hruška@example.com,password24,Prešov,Česko,381493906,password,1982-10-02,M
25,Lucia,Varga,lucia.varga@example.com,password25,Bratislava,Francie,084206202,password,1994-01-12,F
26,Lukáš,Krajčí,lukáš.krajčí@example.com,password26,Bratislava,Slovensko,229685180,password,1993-05-05,M
27,Zuzana,Krajčí,zuzana.krajčí@example.com,password27,Trenčín,Polsko,083484612,password,1997-03-16,F
28,Pavol,Molnár,pavol.molnár@example.com,password28,Banská Bystrica,Německo,743947255,password,1970-08-19,M
29,Adam,Szabó,adam.szabó@example.com,password29,Poprad,Polsko,188524208,password,1977-10-14,M
30,Michal,Hruška,michal.hruška@example.com,password30,Poprad,Maďarsko,726370106,password,1997-04-23,M
31,Martin,Horváth,martin.horváth@example.com,password31,Prešov,Velká Británie,282169978,password,1984-01-02,M
32,Eva,Baláž,eva.baláž@example.com,password32,Trnava,Velká Británie,456027677,password,1976-01-24,M
33,Anna,Kováč,anna.kováč@example.com,password33,Prešov,Německo,836315690,password,1973-10-21,F
34,Eva,Kováč,eva.kováč@example.com,password34,Košice,Itálie,308171401,password,1997-12-02,M
35,Simona,Krajčí,simona.krajčí@example.com,password35,Nitra,Francie,276340491,password,1993-08-11,F
36,Tomáš,Horváth,tomáš.horváth@example.com,password36,Banská Bystrica,Polsko,886095155,password,1997-05-10,M
37,Lucia,Hruška,lucia.hruška@example.com,password37,Žilina,Slovensko,558248945,password,1987-06-04,M
